,video_id,captioning,categoryID,definition,descrp_length,dislikes_to_views,duration_to_views,likes_to_dislikes,likes_to_views,numVides_on_Channel,popularity,publish_month,subscriber_count,title_length,views_to_daysActive,views_to_subscribers
1025,skU9_0Dh87k,0,10,1,2011,0.000368233705658,0.0170001227446,10.5,0.00386645390941,14036,0,3,1155661,82,8.526425955,70.9460105405
1026,suk18oBWy58,0,20,0,316,0.0,0.0735428745804,1.0,0.00610314311871,13,0,5,14,58,1.26427469136,0.00427220018309
1027,t0zumKveUSo,0,24,1,320,0.00464461299009,0.00380462978976,1.42553191489,0.00662104404971,105,0,7,510,41,28.1873259053,0.0125227574669
1028,t4iJuZ5G26E,0,24,1,934,0.00494761350407,0.109429569267,2.58823529412,0.0128055878929,4,0,11,8,64,2.02953337271,0.0023282887078
1029,tCKstDXMslQ,0,23,0,1497,0.000272769036407,0.000736954940469,7.0350877193,0.00191895409824,1102,0,8,1140881,53,83.4203592814,5.52990334658
1030,tEbuZc3v-Eo,0,24,0,1,0.0,2.5,1.0,0.0185185185185,12,0,1,11,56,0.0540811216825,0.101851851852
1031,tFr9oz3xLoo,0,20,1,379,0.0,1.54201680672,1.0,0.0588235294118,22,0,8,52,14,0.168674698795,0.218487394958
1032,tKEu-un1i00,0,10,1,1199,0.000217326154649,0.000284461941276,37.2452229299,0.00809436107841,86,0,10,5736504,30,1082.27191011,3.98637062741
1033,tOYDtHaUlAg,0,23,0,187,0.0,0.365217391304,1.0,0.00652173913043,24,0,3,287,31,0.173650434126,0.623913043478
1034,tTUnEsF-CL0,0,10,0,214,0.000336656739608,0.00947818205361,22.7692307692,0.00766541499417,40,0,11,3131,60,18.9474975466,0.0810824809012
1035,tUSb8eH__1Y,0,20,1,4205,0.00390625,1.4375,10.0,0.0390625,10,0,8,85,33,0.182596291013,0.330739299611
1036,tiiIat40ASw,0,23,1,57,0.00118394144871,0.0145840060273,5.27272727273,0.00624260036595,9,0,2,114,28,6.90780669145,0.00613496932515
1037,ts_iRAZmjVs,0,22,0,4481,0.00111152278622,0.030566876621,1.0,0.00111152278622,88,0,4,1167,59,4.81534344335,0.0718784735087
1038,u-eOLBABl1E,0,28,1,1250,0.000197734837582,0.0022025463853,73.7222222222,0.0145774516374,107,0,3,126145,43,117.307989691,0.693515448297
1039,u3u4Zrih3FY,0,10,0,0,0.000116376917981,0.00335702648022,6.38461538462,0.000743021860956,22,0,8,1675,41,44.8618473896,0.0150178101563
1040,uBjaBITc520,0,10,0,1,0.0,0.218550724638,1.0,0.00231884057971,15,0,9,4,50,0.996533795494,0.00231884057971
1041,uGT8oMCAgbY,0,17,0,679,0.000576950814943,0.0526467618636,17.25,0.00995240155777,417,0,12,1767,43,2.53956043956,0.255659697188
1042,uLKgelYnAqk,0,24,0,222,0.0,0.4859437751,1.0,0.0100401606426,38,0,6,106,71,0.195294117647,0.212851405622
1043,uPR6HkRb8HM,0,10,0,359,0.0,1.51440329218,1.0,0.0164609053498,32,0,5,33,68,0.129738387613,0.135802469136
1044,uPmMlpoEFuk,0,10,1,146,0.00650296720088,0.00578041528967,1.29508196721,0.00842187555524,2602,0,6,6403078,49,57.9430336307,76.2424124192
1045,uQ1wtftL3nA,0,10,0,170,6.6234735904e-05,0.00300464847419,67.0909090909,0.0044437486452,2,0,3,156,19,55.22979714,0.000937905824635
1046,uQC3Z4HO66E,0,20,0,2335,0.0235294117647,1.11764705882,1.66666666667,0.0392156862745,24,0,10,619,22,0.190440627334,2.41960784314
1047,uRGzEwogfNg,0,10,1,490,0.000227568681492,0.00797754655676,75.8888888889,0.0172699343844,88,0,8,144866,38,56.7817659727,1.83189774937
1048,uRNT6GIiZeU,0,23,0,134,0.000325348733173,0.000691366057993,24.125,0.00784903818781,119,0,5,156,35,8.27633793336,0.00638289222263
1049,uReyETYykM8,0,23,1,227,0.000783085356303,0.0736100234926,3.66666666667,0.00287131297311,37,0,4,924,41,1.69813829787,0.241325332638
1050,uW0_EB9Seck,0,25,1,943,0.000472664250827,0.0806680321412,0.666666666667,0.000315109500551,90,0,1,35,67,3.20393740535,0.00550747442958
1051,uhIYbjBzH9c,0,23,0,34,0.00352416496003,0.00148659465865,0.743362831858,0.00261973324462,6,0,12,8,32,31.0,8.3166134749e-05
1052,uiKS0c61EsA,0,10,0,373,0.00093984962406,0.34962406015,21.0,0.0197368421053,84,0,5,384,34,0.566862013852,0.360902255639
1053,unCdkLn-qfE,0,10,1,703,0.000394114555964,0.0171571203363,8.4,0.0033105622701,64,0,4,487,90,19.9790026247,0.0128477969575
1054,uoihgiQZsTQ,0,10,1,294,0.000501756146512,0.0175158509328,2.81818181818,0.00141404004926,6,0,7,8,89,12.105466593,0.000364896916621
1055,uxGPGhO0dmI,0,10,1,1892,0.00417003382905,0.00146231052059,1.23741610738,0.0051600670284,1,0,12,52,61,174.298170732,0.000181899591425
1056,v2ffZikVVtA,0,27,0,103,0.000245158126991,0.0460897278745,6.0,0.00147094876195,24,0,3,3,29,3.07965269913,0.00036755697133
1057,v8W5Oigarz8,0,24,0,49,0.000961274375171,0.034193902774,2.42857142857,0.00233452348256,13,0,7,12,65,4.00770500826,0.00164722031572
1058,vJMQej1R1bU,0,23,0,62,0.000437636761487,0.055579868709,11.5,0.00503282275711,23,0,4,722,38,1.3658099223,0.157710790738
1059,vKbvWFOQtG0,0,23,0,1,7.2939460247e-05,0.0111597374179,11.0,0.000802334062727,10,0,9,12,66,6.53791130186,0.000875209685653
1060,vRLgDRCxoEQ,0,10,0,202,0.0,0.101524601525,1.0,0.0010395010395,1,0,1,2,44,3.18425891872,0.000230973553528
1061,vXFiqni0va8,0,26,1,1090,0.000959582389743,0.0147775688021,4.68,0.004490845584,148,0,8,32381,62,18.7027997128,1.24398480371
1062,vXUxbhOdFvs,0,20,1,2239,0.000142247510668,0.0194879089616,28.0,0.00398293029872,1361,0,3,37289,29,4.53255963894,5.31123755334
1063,vdlESxlwrXg,0,10,0,4897,0.000802568218298,0.31621187801,4.0,0.00321027287319,36,0,5,79,56,0.663471778488,0.0634028892456
1064,voxd2_rIJ98,0,23,0,132,0.000130718954248,0.101176470588,17.0,0.00222222222222,14,0,10,9,38,3.14297452753,0.00117631682133
1065,vqLOCxavTx0,0,10,0,137,0.00166666666667,0.451666666667,5.0,0.00833333333333,44,0,3,32,36,0.385356454721,0.0532445923461
1066,w-8CBGEoac8,0,10,1,238,0.00040733197556,0.0298981670061,32.8,0.0133604887984,0,0,10,0,61,9.16728902166,0.0
1067,w0cNgO7Z-54,0,26,1,2268,0.000396374970722,0.00956705042971,25.1818181818,0.00998144244455,14036,0,5,1155663,72,29.6173959445,20.83807621
1068,w0y4TfFFZQI,0,24,0,675,0.00181598062954,0.165859564165,2.66666666667,0.00484261501211,789,0,4,797,47,0.728395061728,0.483050847458
1069,w2mwt6wQUwQ,1,22,0,301,0.0,3.87769784173,1.0,0.0,4098,0,6,923101,38,0.0539386883974,6673.36690647
1070,w3HZrJcICmU,0,10,1,562,0.0004455004455,0.0239085239085,5.66666666667,0.0025245025245,2,0,3,40,9,2.93292682927,0.00593824228029
1071,w7pPgOYsIKk,0,10,0,572,0.000399793729611,0.0021090567765,35.0724637681,0.0140217510965,138,0,4,98913,41,113.396189225,0.573174123127
1072,w9-usUEdYEM,0,23,0,47,0.00558035714286,0.0864955357143,0.8,0.00446428571429,374,0,6,1351,39,0.69972666927,0.759063022867
1073,wDLIEULvLmQ,0,25,0,420,0.000449397806938,0.0144706093834,0.8,0.00035951824555,13,0,9,6,56,3.48449733793,0.000539277368326
1074,wMDtGLfoXHw,0,24,0,28,0.0,1.05673758865,1.0,0.00709219858156,3,0,6,2,29,0.0952702702703,0.0141843971631
1075,wR7b96gt0ck,0,24,1,51,0.000260369725009,0.00338480642512,2.30769230769,0.00060085321156,24,0,9,18,33,23.5514150943,0.000360425301856
1076,wZuxvhS8lJQ,0,10,0,321,0.00220070422535,0.222711267606,1.2,0.00264084507042,38,0,8,8,57,0.912083500602,0.00352112676056
1077,wc2rBvvgp8E,0,10,1,1325,0.000215447592373,0.0522460411505,26.5,0.00570936119789,154,0,10,2513,31,6.94315632012,0.271131689458
1078,wcELV2R1NHE,0,10,1,1787,0.000650195058517,0.0525574338968,15.1666666667,0.00986129172085,19,0,7,460,71,6.41724617524,0.0497129860284
1079,wec5aCjw7TE,0,24,0,145,0.00856503675296,0.00228507510387,0.207089552239,0.00177372962608,65,0,7,263,23,19.1142333537,0.00420262064557
1080,wgKrnnszryk,0,10,1,321,0.000998003992015,0.0703592814371,3.0,0.00299401197605,66,0,1,106,59,1.24394785847,0.0528942115768
1081,wjvNs1dqYQU,0,10,1,270,0.000899685110211,0.220872694557,7.5,0.00674763832659,298,0,2,883,50,0.831028037383,0.4
1082,wqFhRNFrVhs,0,20,1,120,0.000136783936094,0.0050610056355,23.4,0.00320074410461,70,0,4,3221,97,48.1607378129,0.0440081153579
1083,wwAajgYDGAU,0,10,0,126,0.000246275089274,0.0443295160694,10.0,0.00246275089275,7,0,3,16,9,2.70159680639,0.0019702007142
1084,wyemgCGR-XM,0,23,1,21,0.0030303030303,0.0127272727273,0.8,0.00242424242424,9,0,5,42,48,1.10812625923,0.0260290556901
1085,x13B5gwVg8Y,0,10,0,104,0.000119055493088,0.00254646471327,154.611111111,0.0184073020702,1173,0,3,63461,9,78.4180497925,0.420251038277
1086,x2yMVkWtmdk,0,10,1,416,0.000475590745356,0.00331152074544,43.3888888889,0.0206353540069,40,0,3,2770,48,59.2604384134,0.0244630544475
1087,x50pJe_QvQQ,0,10,1,815,0.000389841835598,0.0138950768545,9.64285714286,0.00375918912898,415,0,7,3135,82,14.1608832808,0.0876997605657
1088,xEZ33ySHxj8,0,24,0,14,0.00316957210777,0.305071315372,3.25,0.0103011093502,6,0,2,25,99,0.793710691824,0.0198098256735
1089,xMtQ7aZr7kY,0,10,1,256,0.00166805671393,0.0165971643036,11.3,0.0188490408674,40,0,3,2770,78,12.554973822,0.115817560243
1090,xRwCtrfyhH4,0,15,0,29,0.0013434841021,0.0400806090461,4.33333333333,0.00582176444245,30,0,6,198,29,2.41928494041,0.0443250503694
1091,xVmbUbVfBXA,0,10,1,3365,0.0025355043895,0.00609693541059,3.17341040462,0.00804619601061,106,0,4,520,47,35.7604821803,0.00761681558518
1092,xWpwZJecNdE,0,23,0,5,0.000158302991926,0.00203064527575,3.55172413793,0.000562248557532,26,0,12,25,24,76.8749475451,0.00013646735155
1093,xbKb8t4iJY0,0,10,0,266,0.0,0.435868331442,1.0,0.00567536889898,2,0,11,2,41,0.367542761786,0.00227014755959
1094,xhZf0aAem1E,0,24,1,5,0.0,0.0848708487085,1.0,0.00738007380074,13,0,8,23,32,0.154064809551,0.0848708487085
1095,xhqCx4Oza7g,1,10,1,323,0.00113895216401,0.511958997722,4.5,0.00512528473804,97,0,8,2546,63,1.25518227305,1.45961319681
1096,yHMsLm-Vsko,0,26,0,873,0.000603378921962,0.0779364440869,4.66666666667,0.00281576830249,66,0,6,856,40,5.38970189702,0.0860734037205
1097,yLJpjuCw6yQ,0,10,0,551,0.00889679715302,0.692170818505,2.0,0.017793594306,45,0,4,287,55,0.368524590164,0.510676156584
1098,yLOFmH7MKXc,0,1,0,1169,0.000325056884954,0.0164028705023,19.3076923077,0.00627609831721,41,0,4,400,21,15.1603487491,0.00998352718015
1099,yQw_BrCQ_Pg,0,22,0,71,0.0,2.80952380952,1.0,0.0408163265306,4,0,11,5,53,0.111957349581,0.0340136054422
1100,yVPeT7ianQA,0,23,0,476,0.00372208436725,0.199751861042,1.33333333333,0.00496277915633,5,0,7,7,50,0.448275862069,0.00866336633663
1101,yeb8NFusbE4,0,10,0,222,0.0,0.414141414141,1.0,0.00561167227834,2,0,9,3,32,0.359709325797,0.003367003367
1102,yfvJ9mVQc5w,0,24,1,206,0.0,1.53414264036,1.0,0.0121396054628,13,0,8,11,50,0.372526851328,0.0166919575114
1103,ygm2_FbjQzw,0,20,0,3854,0.00180870305352,0.0072880093627,0.941176470588,0.00170230875625,135,0,7,36531,25,26.2725366876,0.969629334396
1104,yiZojQCaXoM,0,22,0,1472,0.00022366360993,0.0333258778797,6.0,0.00134198165958,69,0,10,393,20,2.52598870056,0.0441735629613
1105,yjhQekEgtNI,0,24,1,3344,0.0035046728972,0.754672897196,3.33333333333,0.0116822429907,281,0,10,2359,96,0.637853949329,2.7558411215
1106,yl4gJj-YeiM,0,10,0,129,0.00117693213025,0.14123185563,5.0,0.00588466065124,52,0,10,46,19,1.04424416223,0.0180462926638
1107,ylEjBING3VI,0,10,1,3764,0.00355314034904,0.0211098338384,5.25,0.0186539868325,21,0,11,2227,79,14.5536121673,0.116313094367
1108,ymS4Oz-Keas,0,23,0,158,0.00167224080268,0.423076923077,2.0,0.00334448160535,3,0,8,5,33,0.238437001595,0.00836120401338
1109,yswK-I7B4FQ,0,24,0,187,0.000196618167518,0.0494166994364,8.0,0.00157294534015,7,0,3,37,60,4.51954976303,0.0024246395806
1110,ytA-Xk9SVHo,0,10,0,191,0.0169491525424,0.496510468594,0.352941176471,0.00598205383848,1,0,6,1,61,0.545108695652,0.00099700897308
1111,z0nT3tgc9dg,0,24,0,182,7.5058170081e-05,0.00277715229303,14.25,0.00106957892367,1288,0,6,165505,60,20.7361867704,3.10514860402
1112,z5XKUyBs7gI,0,23,0,36,0.00175494575622,0.0255264837269,1.81818181818,0.00319081046586,5,0,11,1,25,2.25792507205,0.000159413358839
1113,z7wAvVETuRM,0,10,1,46,0.000309313537266,0.00527966210163,4.79310344828,0.00148257178207,0,0,5,0,41,62.2549800797,0.0
1114,zBUbnNe8DDk,0,26,0,140,8.3934866543e-05,0.0345811650159,7.0,0.000587544065804,76,0,10,75,34,3.38081725312,0.00637904985731
1115,zClS-LMHtUA,0,24,1,99,0.00211976682565,0.0344462109168,10.6666666667,0.0226108461403,2967,0,9,366807,42,8.28843338214,32.4330715609
1116,zFf2AIEEj6o,0,23,0,63,0.000821018062397,0.122331691297,1.0,0.000821018062397,11,0,10,9,55,0.383863851245,0.00738916256158
1117,zFtA_x6Q0sE,0,10,0,2313,0.000634805477464,0.0369094041897,7.14285714286,0.00453432483903,7,0,1,76,72,6.76088289393,0.00689154878491
1118,zMwV8AKBs8w,0,10,1,148,0.0011396011396,0.288888888889,2.0,0.0022792022792,7,0,8,93,49,1.25626342162,0.0529914529915
1119,zOVrDYh5pNQ,0,23,0,152,0.000490677134445,0.0108562315996,4.625,0.00226938174681,6,0,1,2,39,5.31594391914,0.000122654237703
1120,zPh_OhL0XVw,0,24,0,237,1.6737522177e-05,0.0141097311954,104.0,0.00174070230643,72,0,8,70,41,23.955894146,0.00117133247436
1121,zQqsx5DLQMQ,0,10,0,85,9.5383441434e-05,0.00152216075289,27.375,0.00261112170927,463,0,6,11079,37,98.1724541553,0.0442468386605
1122,zT9Gmv4RYDU,0,22,1,1509,0.000464612048939,0.10082081462,13.6666666667,0.00634969800217,234,0,10,10867,71,4.82225541449,1.68245858492
1123,zTPQ2nrPUag,0,10,0,471,0.0,0.0288645452965,1.0,0.000695531211963,29,0,7,43,60,1.7571035747,0.00747436120285
1124,zbM8yFushB0,0,10,0,590,0.000326117973176,0.0150421915128,7.375,0.00240512005218,4,0,8,8,82,9.76163947473,0.000326078095703
1125,zdiYO0NUqpE,0,23,0,1808,0.00142840955524,0.000920225386546,2.74278846154,0.00391782524645,223,0,5,47819,44,111.669095092,0.164226961262
1126,ze5E96UODFM,0,10,1,1,0.000116378307083,0.00508185274265,48.0,0.00558615874001,34,0,3,62,84,40.4890052356,0.000801706859765
1127,zeKqtVzgw4o,0,1,1,1821,0.000591366055588,0.08042578356,15.0,0.00887049083383,14,0,6,268,38,3.47465753425,0.0528182893181
1128,zfV6yO3akv8,0,23,0,233,0.0,1.25560538117,1.0,0.0493273542601,1,0,10,14,50,0.0916940789474,0.0627802690583
1129,zjPptbxzTQ8,0,10,0,207,0.000649651972157,0.0492807424594,6.85714285714,0.00445475638051,58,0,7,4928,37,7.44129834254,0.456949341251
1130,zls-tiJgupQ,0,20,1,1454,0.00322580645161,2.11290322581,10.0,0.0322580645161,905,0,11,9401,57,0.235204855842,30.3096774194
1131,zmX6RKhdy6Q,0,23,0,295,0.000395135443649,0.0108003687931,3.22222222222,0.00127321420731,9,0,7,100,47,7.87858872363,0.00438923758943
1132,zoJU8lLvFOo,0,25,0,153,3.3994719486e-05,0.00337680880237,19.6666666667,0.000668562816575,57,0,3,95,20,26.0091364574,0.00106515580737
1133,zrhrPvtQXcw,0,24,0,448,0.0,0.289788408464,1.0,0.0110395584177,16,0,11,28,49,1.64572293717,0.0128794848206
1134,zyG8XNL1NRo,0,20,0,87,0.000218866272707,0.0105876559422,3.875,0.000848106806741,13,0,12,46,36,15.4032869785,0.00125824010504
